"IndicatorId","Label","MeasurementType","Denominator"
"CN_IYCF_C_UNB","Number of breastfed children 6-23 months (unweighted)","Number","Youngest breastfed children age 6-23 months"
"CN_IYCF_C_MKN","Non-breastfed children 6-23 months fed milk or milk products","Percent","Youngest non-breastfed children age 6-23 months"
"CN_IYCF_C_4FN","Non-breastfed children 6-23 months fed 4+ food groups","Percent","Youngest non-breastfed children age 6-23 months"
"CN_IYCF_C_MNN","Non-breastfed children 6-23 months fed the minimum meal frequency","Percent","Youngest non-breastfed children age 6-23 months"
"CN_IYCF_C_3PN","Non-breastfed children 6-23 months with 3 IYCF practices","Percent","Youngest non-breastfed children age 6-23 months"
"CN_IYCF_C_NMN","Number of nonbreastfed children 6-23 months","Number","Youngest non-breastfed children age 6-23 months"
"CN_IYCF_C_UNN","Number of nonbreastfed children 6-23 months (unweighted)","Number","Youngest non-breastfed children age 6-23 months"
"CN_IYCF_C_MKA","Children 6-23 months fed breastmilk, milk, or milk-products","Percent","Youngest children age 6-23 months"
"CN_IYCF_C_4FA","Children 6-23 months fed 4+ food groups","Percent","Youngest children age 6-23 months"
"CN_IYCF_C_MNA","Children 6-23 months fed the minimum meal frequency","Percent","Youngest children age 6-23 months"
"CN_IYCF_C_3PA","Children 6-23 months with 3 IYCF practices","Percent","Youngest children age 6-23 months"
"CN_IYCF_C_NMA","Number of all children 6-23 months","Number","Youngest children age 6-23 months"
"CN_IYCF_C_UNA","Number of all children 6-23 months (unweighted)","Number","Youngest children age 6-23 months"
"CN_ANMC_C_ANY","Children with any anemia","Percent","Children age 6-59 months"
"CN_ANMC_C_MLD","Children with mild anemia","Percent","Children age 6-59 months"
"CN_ANMC_C_MOD","Children with moderate anemia","Percent","Children age 6-59 months"
"CN_ANMC_C_SEV","Children with severe anemia","Percent","Children age 6-59 months"
"CN_ANMC_C_NUM","Number of children under age 5","Number","Children age 6-59 months"
"CN_ANMC_C_UNW","Number of children under age 5 (unweighted)","Number","Children age 6-59 months"
"CN_MIAC_C_VAF","Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours","Percent","Youngest children age 6-23 months living with mother"
"CN_MIAC_C_IRF","Children 6-23 months that consumed foods rich in iron in the last 24 hours","Percent","Youngest children age 6-23 months living with mother"
"CN_MIAC_C_NM1","Number of youngest children age 6-23 months living with mother","Number","Youngest children age 6-23 months living with mother"
"CN_MIAC_C_UN1","Number of youngest children age 6-23 months living with mother (unweighted)","Number","Youngest children age 6-23 months living with mother"
"CN_MIAC_C_VAS","Children consuming vitamin A supplements","Percent","Children age 6-59 months "
"CN_MIAC_C_IRS","Children given iron supplements in past 7 days","Percent","Children age 6-59 months "
"CN_MIAC_C_DWM","Children given deworming medication in past 6 months","Percent","Children age 6-59 months "
"CN_MIAC_C_NM2","Number of children age 6-59 months","Number","Children age 6-59 months "
"CN_MIAC_C_UN2","Number of children age 6-59 months (unweighted)","Number","Children age 6-59 months "
"CN_MIAC_C_IOD","Children under five living in households using adequately iodized salt","Percent","Children age 6-59 months living in household tested for iodized salt"
"CN_MIAC_C_NM3","Number of children under five","Number","Children age 6-59 months living in household tested for iodized salt"
"CN_MIAC_C_UN3","Number of children under five (unweighted)","Number","Children age 6-59 months living in household tested for iodized salt"
"CN_IODZ_H_SLT","Households with salt tested for iodine content","Percent","All households"
"CN_IODZ_H_NSL","Households with no salt","Percent","All households"
"CN_IODZ_H_NM1","Number of households","Number","All households"
"CN_IODZ_H_UN1","Number of households (unweighted)","Number","All households"
"CN_IODZ_H_IOD","Households with iodized salt","Percent","All households with tested salt"
"CN_IODZ_H_NM2","Number of households with salt tested","Number","All households with tested salt"
"CN_IODZ_H_UN2","Number of households with salt tested (unweighted)","Number","All households with tested salt"
"AN_NUTS_W_SHT","Women with height below 145 cm","Percent","Women interviewed"
"AN_NUTS_W_NM1","Number of women","Number","Women interviewed"
"AN_NUTS_W_UN1","Number of women (unweighted)","Number","Women interviewed"
"AN_NUTS_W_BMI","Mean Body Mass Index (BMI) for women","Mean","Women interviewed"
"AN_NUTS_W_NRM","Women with normal BMI (18.5-24.9)","Percent","Women interviewed"
"AN_NUTS_W_THN","Women who are thin according to BMI (<18.5)","Percent","Women interviewed"
"AN_NUTS_W_TH1","Women who are mildly thin according to BMI (17.0-18.4)","Percent","Women interviewed"
"AN_NUTS_W_TH2","Women who are moderately thin according to BMI (<17.0)","Percent","Women interviewed"
"AN_NUTS_W_OWT","Women who are overweight or obese according to BMI (>=25.0)","Percent","Women interviewed"
"AN_NUTS_W_OVW","Women who are overweight according to BMI (25.0-29.9)","Percent","Women interviewed"
"AN_NUTS_W_OBS","Women who are obese according to BMI (>=30.0)","Percent","Women interviewed"
"AN_NUTS_W_NUM","Number of women","Number","Women interviewed"
"AN_NUTS_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"AN_NUTS_M_SHT","Men with height below 145 cm","Percent","Men interviewed"
"AN_NUTS_M_NM1","Number of men","Number","Men interviewed"
"AN_NUTS_M_UN1","Number of men (unweighted)","Number","Men interviewed"
"AN_NUTS_M_BMI","Mean Body Mass Index (BMI) for men","Mean","Men interviewed"
"AN_NUTS_M_NRM","Men with normal BMI (18.5-24.9)","Percent","Men interviewed"
"AN_NUTS_M_THN","Men who are thin according to BMI (<18.5)","Percent","Men interviewed"
"AN_NUTS_M_TH1","Men who are mildly thin according to BMI (17.0-18.4)","Percent","Men interviewed"
"AN_NUTS_M_TH2","Men who are moderately thin according to BMI (<17.0)","Percent","Men interviewed"
"AN_NUTS_M_OWT","Men who are overweight or obese according to BMI (>=25.0)","Percent","Men interviewed"
"AN_NUTS_M_OVW","Men who are overweight according to BMI (25.0-29.9)","Percent","Men interviewed"
"AN_NUTS_M_OBS","Men who are obese according to BMI (>=30.0)","Percent","Men interviewed"
"AN_NUTS_M_NUM","Number of men","Number","Men interviewed"
"AN_NUTS_M_UNW","Number of men (unweighted)","Number","Men interviewed"
"AN_ANEM_W_ANY","Women with any anemia","Percent","Women interviewed"
"AN_ANEM_W_MLD","Women with mild anemia","Percent","Women interviewed"
"AN_ANEM_W_MOD","Women with moderate anemia","Percent","Women interviewed"
"AN_ANEM_W_SEV","Women with severe anemia","Percent","Women interviewed"
"AN_ANEM_W_NUM","Number of women","Number","Women interviewed"
"AN_ANEM_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"AN_ANEM_M_ANY","Men with any anemia","Percent","Men interviewed"
"AN_ANEM_M_NUM","Number of men","Number","Men interviewed"
"AN_ANEM_M_UNW","Number of men (unweighted)","Number","Men interviewed"
"AN_MIAM_W_VAP","Women with a birth in the past five years who received a vitamin A dose in the first two months after delivery","Percent","Women with a child born in past five years"
"AN_MIAM_W_NON","Women with a birth in the past five years who took no iron tablets or syrup","Percent","Women with a child born in past five years"
"AN_MIAM_W_L60","Women with a birth in the past five years who took iron tablets or syrup for <60 days","Percent","Women with a child born in past five years"
"AN_MIAM_W_L89","Women with a birth in the past five years who took iron tablets or syrup for 60-89 days","Percent","Women with a child born in past five years"
"AN_MIAM_W_90P","Women with a birth in the past five years who took iron tablets or syrup for 90+ days","Percent","Women with a child born in past five years"
"AN_MIAM_W_DKM","Women with a birth in the past five years with 'Don't know' or missing information on iron tablets or syrup","Percent","Women with a child born in past five years"
"AN_MIAM_W_TOT","Women with a birth in the past five years: Total","Percent","Women with a child born in past five years"
"AN_MIAM_W_DWM","Women with a birth in the past five years who took deworming medication during pregnancy of last birth","Percent","Women with a child born in past five years"
"AN_MIAM_W_NBR","Women with a birth in the past five years suffering from night blindness during pregnancy (adjusted)","Percent","Women with a child born in past five years"
"AN_MIAM_W_NBA","Women with a birth in the past five years suffering from night blindness during pregnancy (reported)","Percent","Women with a child born in past five years"
"AN_MIAM_W_NUM","Number of women with a birth in the past five years","Number","Women with a child born in past five years"
"AN_MIAM_W_UNW","Number of women with a birth in the past five years (unweighted)","Number","Women with a child born in past five years"
"AN_MIAM_W_IOD","Women living in households using adequately iodized salt","Percent","Women with a child born in past five years who live in households tested for iodized salt"
"AN_MIAM_W_NM1","Number of women with a birth in the past five years living in households tested for iodized salt","Number","Women with a child born in past five years who live in households tested for iodized salt"
"AN_MIAM_W_UN1","Number of women with a birth in the past five years living in households tested for iodized salt (unweighted)","Number","Women with a child born in past five years who live in households tested for iodized salt"
"ML_NETP_H_MOS","Households with at least one mosquito net","Percent","Households"
"ML_NETP_H_ITN","Households with at least one insecticide-treated mosquito net (ITN)","Percent","Households"
"ML_NETP_H_LLN","Households with at least one long-lasting insecticidal net (LLIN)","Percent","Households"
"ML_NETP_H_MNM","Mean number of mosquito nets per household","Mean","Households"
"ML_NETP_H_MNI","Mean number of insecticide-treated mosquito nets (ITNs) per household","Mean","Households"
"ML_NETP_H_MNL","Mean number of long-lasting insecticide-treated mosquito nets (LLINs) per household","Mean","Households"
"ML_NETP_H_NUM","Number of households","Number","Households"
"ML_NETP_H_UNW","Number of households (unweighted)","Number","Households"
"ML_NETP_H_MS2","Households with at least one mosquito net for every two persons who stayed in the household the previous night","Percent","Households with at least one person who stayed in the household last night"
"ML_NETP_H_IT2","Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night","Percent","Households with at least one person who stayed in the household last night"
"ML_NETP_H_LL2","Households with at least one long-lasting insecticidal net (LLIN) for every two persons who stayed in the household the previous night","Percent","Households with at least one person who stayed in the household last night"
"ML_NETP_H_NM2","Number of households with a least one person who stayed in the household last night","Number","Households with at least one person who stayed in the household last night"
"ML_NETP_H_UN2","Number of households with a least one person who stayed in the household last night (unweighted)","Number","Households with at least one person who stayed in the household last night"
"ML_IRSM_H_IRS","Households with indoor residual spraying (IRS) in last 12 months","Percent","Households"
"ML_IRSM_H_IIR","Households with at least one insecticide-treated mosquito net (ITN) and/or indoor residual spraying (IRS) in the past 12 months","Percent","Households"
"ML_IRSM_H_I2I","Households with at least one insecticide-treated mosquito net (ITN) for every two persons and/or indoor residual spraying (IRS) in the past 12 months","Percent","Households"
"ML_IRSM_H_NUM","Number of households","Number","Households"
"ML_IRSM_H_UNW","Number of households (unweighted)","Number","Households"
"ML_ITNA_P_NUM","Number of persons","Number","De facto household population"
"ML_ITNA_P_UNW","Number of persons (unweighted)","Number","De facto household population"
"ML_ITNA_P_ACC","Persons with access to an insecticide-treated mosquito net (ITN)","Percent","De facto household population"
"ML_NETU_P_ANY","Population who slept under any net last night","Percent","De facto household population"
"ML_NETU_P_ITN","Population who slept under an insecticide-treated mosquito net (ITN) last night","Percent","De facto household population"
"ML_NETU_P_LLN","Population who slept under an LLIN last night","Percent","De facto household population"
"ML_NETU_P_ITI","Population who slept under an insecticide-treated mosquito net (ITN) last night or in a dwelling sprayed with indoor residual spraying (IRS) in the past 12 months","Percent","De facto household population"
"ML_NETU_P_NUM","Number of persons","Number","De facto household population"
"ML_NETU_P_UNW","Number of persons (unweighted)","Number","De facto household population"
"ML_NETU_P_IT1","Population who slept under an insecticide-treated mosquito net (ITN) last night of those living in a household with at least one insecticide-treated mosquito net (ITN)","Percent","De facto household population in households with at least one ITN"
"ML_NETU_P_NM1","Number of persons living in a household with at least one insecticide-treated mosquito net (ITN)","Number","De facto household population in households with at least one ITN"
"ML_NETU_P_UN1","Number of persons living in a household with at least one insecticide-treated mosquito net (ITN) (unweighted)","Number","De facto household population in households with at least one ITN"
"ML_ITNU_N_ITN","Existing insecticide-treated mosquito nets (ITNs) used last night","Percent","Insecticide treated nets"
"ML_ITNU_N_NUM","Number of insecticide-treated mosquito nets (ITNs)","Number","Insecticide treated nets"
"ML_ITNU_N_UNW","Number of insecticide-treated mosquito nets (ITNs) (unweighted)","Number","Insecticide treated nets"
"ML_NETC_C_ANY","Children under 5 who slept under any net","Percent","Children under age five"
"ML_NETC_C_ITN","Children under 5 who slept under an insecticide-treated net (ITN)","Percent","Children under age five"
"ML_NETC_C_LLN","Children under 5 who slept under a long-lasting insecticide-treated net (LLIN)","Percent","Children under age five"
"ML_NETC_C_ITI","Children under 5 who slept under an insecticide-treated net (ITN) or in a dwelling sprayed with indoor residual spraying (IRS) in the past 12 months","Percent","Children under age five"
"ML_NETC_C_NUM","Number of children under 5","Number","Children under age five"
"ML_NETC_C_UNW","Number of children under 5 (unweighted)","Number","Children under age five"
"ML_NETC_C_IT1","Children under 5 who slept under an insecticide-treated mosquito net (ITN) last night of those living in a household with at least one ITN","Percent","Children under age five in households with at least one ITN"
"ML_NETC_C_NM1","Number of children under 5 in households with at least one insecticide-treated mosquito net (ITN)","Number","Children under age five in households with at least one ITN"
"ML_NETC_C_UN1","Number of children under 5 in households with at least one insecticide-treated mosquito net (ITN) (unweighted)","Number","Children under age five in households with at least one ITN"
"ML_NETW_W_ANY","Pregnant women who slept under any net","Percent","Pregnant women "
"ML_NETW_W_ITN","Pregnant women who slept under an insecticide-treated net (ITN)","Percent","Pregnant women "
"ML_NETW_W_LLN","Pregnant women who slept under a long-lasting insecticide-treated net (LLIN)","Percent","Pregnant women "
"ML_NETW_W_ITI","Pregnant women who slept under an insecticide-treated net (ITN) or in a dwelling sprayed with indoor residual spraying (IRS) in the past 12 months","Percent","Pregnant women "
"ML_NETW_W_NUM","Number of pregnant women","Number","Pregnant women "
"ML_NETW_W_UNW","Number of pregnant women (unweighted)","Number","Pregnant women "
"ML_NETW_W_IT1","Pregnant women who slept under insecticide-treated mosquito net (ITN) last night of those living in a household with at least one ITN","Percent","Pregnant women in households with at least one ITN"
"ML_NETW_W_NM1","Number of pregnant women in households with at least one insecticide-treated mosquito net (ITN)","Number","Pregnant women in households with at least one ITN"
"ML_NETW_W_UN1","Number of pregnant women in households with at least one insecticide-treated mosquito net (ITN) (unweighted)","Number","Pregnant women in households with at least one ITN"
"ML_IPTP_W_SPF","SP/Fansidar use during pregnancy","Percent","Women with a live birth in the two years preceding the survey"
"ML_IPTP_W_2SP","SP/Fansidar 2+ doses during pregnancy","Percent","Women with a live birth in the two years preceding the survey"
"ML_IPTP_W_3SP","SP/Fansidar 3+ doses during pregnancy","Percent","Women with a live birth in the two years preceding the survey"
"ML_IPTP_W_SPA","SP/Fansidar use during antenatal visit","Percent","Women with a live birth in the two years preceding the survey"
"ML_IPTP_W_2SA","SP/Fansidar 2+ doses, at least one during ANC visit (IPTp)","Percent","Women with a live birth in the two years preceding the survey"
"ML_IPTP_W_3SA","SP/Fansidar 3+ doses, at least one during ANC visit (IPTp)","Percent","Women with a live birth in the two years preceding the survey"
"ML_IPTP_W_NUM","Number of women age 15-49 with a live birth in the last two years","Number","Women with a live birth in the two years preceding the survey"
"ML_IPTP_W_UNW","Number of women age 15-49 with a live birth in the last two years (unweighted)","Number","Women with a live birth in the two years preceding the survey"
"ML_FEVR_C_FEV","Children under 5 with fever in the last two weeks","Percent","Children under age five"
"ML_FEVR_C_NUM","Number of children under 5","Number","Children under age five"
"ML_FEVR_C_UNW","Number of children under 5 (unweighted)","Number","Children under age five"
"ML_FEVT_C_ADV","Children with fever for whom advice or treatment was sought","Percent","Children under age five with fever in the two weeks preceding the survey"
"ML_FEVT_C_ADS","Children with fever for whom advice or treatment was sought the same or the next day","Percent","Children under age five with fever in the two weeks preceding the survey"
"ML_FEVT_C_BLD","Children with fever who had blood taken from a finger or heel for testing","Percent","Children under age five with fever in the two weeks preceding the survey"
"ML_FEVT_C_ACT","Children with fever who took a combination with artemisinin","Percent","Children under age five with fever in the two weeks preceding the survey"
"ML_FEVT_C_ACS","Children with fever who took a combination with artemisinin the same day","Percent","Children under age five with fever in the two weeks preceding the survey"
"ML_FEVT_C_AML","Children with fever who took antimalarial drugs","Percent","Children under age five with fever in the two weeks preceding the survey"
"ML_FEVT_C_AMS","Children with fever who took antimalarial drugs the same day or next day","Percent","Children under age five with fever in the two weeks preceding the survey"
"ML_FEVT_C_NUM","Number of children under age five with fever in the last two weeks","Number","Children under age five with fever in the two weeks preceding the survey"
"ML_FEVT_C_UNW","Number of children under age five with fever in the last two weeks (unweighted)","Number","Children under age five with fever in the two weeks preceding the survey"
"ML_FEVA_C_UNW","Number of children under 5 with fever for whom advice of treatment was sought (unweighted)","Number","Children under age five with fever in the two weeks preceding the survey for whom advice or treatment was sought"
"ML_AMLD_C_ACT","Children who took any ACT","Percent","Children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs"
"ML_AMLD_C_QNN","Children who took Quinine","Percent","Children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs"
"ML_AMLD_C_SPF","Children who took SP/Fansidar","Percent","Children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs"
"ML_AMLD_C_CHL","Children who took Chloroquine","Percent","Children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs"
"ML_AMLD_C_AMQ","Children who took Amodiaquine","Percent","Children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs"
"ML_AMLD_C_ART","Children who took Artesunate mono therapy","Percent","Children under age 5 with fever in the two weeks preceding the survey that received any anti-malarial drugs"
"ML_AMLD_C_NUM","Number of children under age five with fever that received any anti-malarial drugs","Number","Children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs"
"ML_AMLD_C_OAM","Children who took another antimalarial","Percent","Children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs"
"ML_AMLD_C_UNW","Number of children under age five with fever that received any anti-malarial drugs (unweighted)","Number","Children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs"
"ML_HEMO_C_HL8","Children with hemoglobin lower than 8.0 g/dl","Percent","Children age 6-59 months "
"ML_HEMO_C_NUM","Number of children age 6-59 months","Number","Children age 6-59 months "
"ML_HEMO_C_UNW","Number of children age 6-59 months (unweighted)","Number","Children age 6-59 months "
"ML_PMAL_C_RDT","Malaria prevalence according to RDT","Percent","Children age 6-59 months tested with RDT"
"ML_PMAL_C_NMR","Number of children 6-59 months tested using RDT","Number","Children age 6-59 months tested with RDT"
"ML_PMAL_C_UNR","Number of children 6-59 months tested using RDT (unweighted)","Number","Children age 6-59 months tested with RDT"
"ML_PMAL_C_UER","Number of children 6-59 months eligible to be tested for malaria using RDT (unweighted)","Number","Children age 6-59 months tested with RDT"
"ML_PMAL_C_MSY","Malaria prevalence according to microscopy","Percent","Children age 6-59 months tested with microscopy"
"ML_PMAL_C_NMM","Number of children 6-59 months tested using microscopy","Number","Children age 6-59 months tested with microscopy"
"ML_PMAL_C_UNM","Number of children 6-59 months tested using microscopy (unweighted)","Number","Children age 6-59 months tested with microscopy"
"ML_PMAL_C_UEM","Number of children 6-59 months eligible to be tested for malaria using microsopy (unweighted)","Number","Children age 6-59 months tested with microscopy"
"HA_KAID_W_HRD","Women who have heard of HIV or AIDS","Percent","Women interviewed"
"HA_KAID_W_NUM","Number of women","Number","Women interviewed"
"HA_KAID_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"HA_KAID_M_HRD","Men who have heard of HIV or AIDS","Percent","Men interviewed"
"HA_KAID_M_NUM","Number of men","Number","Men interviewed"
"HA_KAID_M_UNW","Number of men (unweighted)","Number","Men interviewed"
"HA_KHVP_W_CND","Knowledge of HIV prevention methods - Use of condoms (prompted) [Women]","Percent","Women interviewed"
"HA_KHVP_W_SX1","Knowledge of HIV prevention methods - Only one partner (prompted) [Women]","Percent","Women interviewed"
"HA_KHVP_W_CS1","Knowledge of HIV prevention methods - Composite of 2 components (prompted) [Women]","Percent","Women interviewed"
"HA_KHVP_W_NUM","Number of women","Number","Women interviewed"
"HA_KHVP_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"HA_KHVP_M_CND","Knowledge of HIV prevention methods - Use of condoms (prompted) [Men]","Percent","Men interviewed"
"HA_KHVP_M_SX1","Knowledge of HIV prevention methods - Only one partner (prompted) [Men]","Percent","Men interviewed"
"HA_KHVP_M_CS1","Knowledge of HIV prevention methods - Composite of 2 components (prompted) [Men]","Percent","Men interviewed"
"HA_KHVP_M_NUM","Number of men","Number","Men interviewed"
"HA_KHVP_M_UNW","Number of men (unweighted)","Number","Men interviewed"
"HA_CKNA_W_HLT","No incorrect beliefs about AIDS - Healthy-looking person can have the AIDS virus [Women]","Percent","Women interviewed"
"HA_CKNA_W_MOS","No incorrect beliefs about AIDS - AIDS cannot be transmitted by mosquito bites [Women]","Percent","Women interviewed"
"HA_CKNA_W_SUP","No incorrect beliefs about AIDS - AIDS cannot be transmitted by supernatural means [Women]","Percent","Women interviewed"
"HA_CKNA_W_SHR","No incorrect beliefs about AIDS - Cannot become infected by sharing food with someone who has AIDS [Women]","Percent","Women interviewed"
"HA_CKNA_W_KIS","No incorrect beliefs about AIDS - Cannot become infected by kissing someone who has AIDS [Women]","Percent","Women interviewed"
"HA_CKNA_W_REJ","No incorrect beliefs about AIDS - Composite of 3 components [Women]","Percent","Women interviewed"
"HA_CKNA_W_CKA","Comprehensive correct knowledge about AIDS [Women]","Percent","Women interviewed"
"HA_CKNA_W_NUM","Number of women","Number","Women interviewed"
"HA_CKNA_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"HA_CKNA_M_HLT","No incorrect beliefs about AIDS - Healthy-looking person can have the AIDS virus [Men]","Percent","Men interviewed"
"HA_CKNA_M_MOS","No incorrect beliefs about AIDS - AIDS cannot be transmitted by mosquito bites [Men]","Percent","Men interviewed"
"HA_CKNA_M_SUP","No incorrect beliefs about AIDS - AIDS cannot be transmitted by supernatural means [Men]","Percent","Men interviewed"
"HA_CKNA_M_SHR","No incorrect beliefs about AIDS - Cannot become infected by sharing food with someone who has AIDS [Men]","Percent","Men interviewed"
"HA_CKNA_M_KIS","No incorrect beliefs about AIDS - Cannot become infected by kissing someone who has AIDS [Men]","Percent","Men interviewed"
"HA_CKNA_M_REJ","No incorrect beliefs about AIDS - Composite of 3 components [Men]","Percent","Men interviewed"
"HA_CKNA_M_CKA","Comprehensive correct knowledge about AIDS [Men]","Percent","Men interviewed"
"HA_CKNA_M_NUM","Number of men","Number","Men interviewed"
"HA_CKNA_M_UNW","Number of men (unweighted)","Number","Men interviewed"
"HA_KMTC_W_BRF","Knowledge of MTCT - Through breastfeeding [Women]","Percent","Women interviewed"
"HA_KMTC_W_DRG","Knowledge of prevention of MTCT - Can be prevented by mother taking special drugs during pregnancy [Women]","Percent","Women interviewed"
"HA_KMTC_W_BFD","Knowledge of prevention of mother to child transmission of HIV [Women]","Percent","Women interviewed"
"HA_KMTC_W_NUM","Number of women","Number","Women interviewed"
"HA_KMTC_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"HA_KMTC_M_BRF","Knowledge of MTCT - Through breastfeeding [Men]","Percent","Men interviewed"
"HA_KMTC_M_DRG","Knowledge of prevention of MTCT - Can be prevented by mother taking special drugs during pregnancy [Men]","Percent","Men interviewed"
"HA_KMTC_M_BFD","Knowledge of prevention of mother to child transmission of HIV [Men]","Percent","Men interviewed"
"HA_KMTC_M_NUM","Number of men","Number","Men interviewed"
"HA_KMTC_M_UNW","Number of men (unweighted)","Number","Men interviewed"
"HA_AATT_W_CRE","Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women]","Percent","Women who have heard of AIDS"
"HA_AATT_W_VEG","Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women]","Percent","Women who have heard of AIDS"
"HA_AATT_W_FTC","Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women]","Percent","Women who have heard of AIDS"
"HA_AATT_W_SEC","Accepting attitudes - Not secretive about family member's HIV status (4) [Women]","Percent","Women who have heard of AIDS"
"HA_AATT_W_AAT","Accepting attitudes towards those living with HIV - Composite of 4 components [Women]","Percent","Women who have heard of AIDS"
"HA_AATT_W_NUM","Number of women who have heard of AIDS","Number","Women who have heard of AIDS"
"HA_AATT_W_UNW","Number of women who have heard of AIDS (unweighted)","Number","Women who have heard of AIDS"
"HA_AATT_M_CRE","Accepting attitudes - Willing to care for family member sick with AIDS (1) [Men]","Percent","Men who have heard of AIDS"
"HA_AATT_M_VEG","Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Men]","Percent","Men who have heard of AIDS"
"HA_AATT_M_FTC","Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Men]","Percent","Men who have heard of AIDS"
"HA_AATT_M_SEC","Accepting attitudes - Not secretive about family member's HIV status (4) [Men]","Percent","Men who have heard of AIDS"
"HA_AATT_M_AAT","Accepting attitudes towards those living with HIV - Composite of 4 components [Men]","Percent","Men who have heard of AIDS"
"HA_AATT_M_NUM","Number of men who have heard of AIDS","Number","Men who have heard of AIDS"
"HA_AATT_M_UNW","Number of men who have heard of AIDS (unweighted)","Number","Men who have heard of AIDS"
"HA_ANSS_W_RSX","Woman is justified in refusing to have sexual intercourse with her husband if she knows he has sex with other women [Women]","Percent","Women interviewed"
"HA_ANSS_W_CND","Woman is justified in asking that they use a condom if she knows that her husband has an sti [Women]","Percent","Women interviewed"
"HA_ANSS_W_NUM","Number of women","Number","Women interviewed"
"HA_ANSS_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"HA_ANSS_M_RSX","Woman is justified in refusing to have sexual intercourse with her husband if she knows he has sex with other women [Men]","Percent","Men interviewed"
"HA_ANSS_M_CND","Woman is justified in asking that they use a condom if she knows that her husband has an sti [Men]","Percent","Men interviewed"
"HA_ANSS_M_NUM","Number of men","Number","Men interviewed"
"HA_ANSS_M_UNW","Number of men (unweighted)","Number","Men interviewed"
"HA_ASEC_W_AGR","Adult support of education on condom use for prevention of HIV/AIDS among young women","Percent","Women age 18-49"
"HA_ASEC_W_NUM","Number of women","Number","Women age 18-49"
"HA_ASEC_W_UNW","Number of women (unweighted)","Number","Women age 18-49"
"HA_ASEC_M_AGR","Adult support of education on condom use for prevention of HIV/AIDS among young men","Percent","Men age 18-49"
"HA_ASEC_M_NUM","Number of men","Number","Men age 18-49"
"HA_ASEC_M_UNW","Number of men (unweighted)","Number","Men age 18-49"
"HA_HRSX_W_HRS","Higher risk sex in the last year [Women]","Percent","Women reporting sexual activity in the last 12 months"
"HA_HRSX_W_NM1","Number of women reporting sexual activity in the last 12 months","Number","Women reporting sexual activity in the last 12 months"
"HA_HRSX_W_UN1","Number of women reporting sexual activity in the last 12 months (unweighted)","Number","Women reporting sexual activity in the last 12 months"
"HA_HRSX_W_CND","Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Women]","Percent","Women who had sex with a non-marital, non-cohabiting partner in the last 12 months"
"HA_HRSX_W_NM2","Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months","Number","Women who had sex with a non-marital, non-cohabiting partner in the last 12 months"
"HA_HRSX_W_UN2","Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)","Number","Women who had sex with a non-marital, non-cohabiting partner in the last 12 months"
"HA_HRSX_M_HRS","Higher risk sex in the last year [Men]","Percent","Men reporting sexual activity in the last 12 months"
"HA_HRSX_M_NM1","Number of men reporting sexual activity in the last 12 months","Number","Men reporting sexual activity in the last 12 months"
"HA_HRSX_M_UN1","Number of men reporting sexual activity in the last 12 months (unweighted)","Number","Men reporting sexual activity in the last 12 months"
"HA_HRSX_M_CND","Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Men]","Percent","Men who had sex with a non-marital, non-cohabiting partner in the last 12 months"
"HA_HRSX_M_NM2","Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months","Number","Men who had sex with a non-marital, non-cohabiting partner in the last 12 months"
"HA_HRSX_M_UN2","Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)","Number","Men who had sex with a non-marital, non-cohabiting partner in the last 12 months"
"HA_MSXP_W_2PP","Higher-risk Sex (with multiple partners among all respondents) [Women]","Percent","Women interviewed"
"HA_MSXP_W_NM1","Number of women","Number","Women interviewed"
"HA_MSXP_W_UN1","Number of women (unweighted)","Number","Women interviewed"
